Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	PDE4D;TPM1;ADRA1D;ADRB1;ADRA1B;ADRA1A
GO_Biological_Process_2021	regulation of neutrophil extravasation (GO:2000389)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	RIPOR2;MDK;ADAM8;OLFM4;CD99;XG
GO_Biological_Process_2021	regulation of nuclease activity (GO:0032069)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	OAS1;OAS2;OAS3;HMGB2;NEIL1;OASL
GO_Biological_Process_2021	regulation of superoxide metabolic process (GO:0090322)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	DHFR;BST1;GCH1;SYK;BMP7;FBLN5
GO_Biological_Process_2021	regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	6/6	2.306785e-02	9.999972e-01	0	0	5.596800e+04	2.109610e+05	LGALS3;HLA-DMB;CD81;LILRB1;LGALS9;HAVCR2
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	18/24	2.533879e-02	9.999972e-01	0	0	2.624930e+00	9.647716e+00	NTNG2;RAMP2;TNXB;LAMB3;LAMB2;LAMB4;NTN4;LTBP3;FBLN5;MFAP4;EFEMP2;HAS1;PXDN;HAS3;MYH11;QSOX1;GAS6;GPM6B
GO_Biological_Process_2021	positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	16/21	2.785965e-02	9.999972e-01	0	0	2.799700e+00	1.002454e+01	PRKCH;CD81;PRKCB;TRAT1;NFAM1;SLC39A10;FOXP1;PTPRC;TESPA1;LCK;RAB29;RPS3;STAP1;CD226;KCNN4;CARD11
GO_Biological_Process_2021	regulation of T cell activation (GO:0050863)	32/47	2.891662e-02	9.999972e-01	0	0	1.867268e+00	6.616364e+00	SIRPG;PTPN22;VTCN1;SIRPB1;IL4I1;LGALS3;SIT1;CCL5;TBX21;SIRPA;TNFSF11;TIGIT;JAK3;PAG1;CCR2;HLA-DPA1;TNFSF18;PRELID1;CRTAM;SPINK5;LAPTM5;CYRIB;LAX1;CCDC88B;CD2;CD4;CD209;LCK;HLA-DPB1;PRKCQ;TNFSF8;CD47
GO_Biological_Process_2021	positive regulation of interleukin-4 production (GO:0032753)	14/18	3.025591e-02	9.999972e-01	0	0	3.061925e+00	1.071081e+01	CD86;CEBPB;SYK;PRKCZ;HLA-E;SLC7A5;CD40LG;IRF4;TNFSF4;CD28;PRKCQ;LGALS9;ZP3;HAVCR2
GO_Biological_Process_2021	DNA cytosine deamination (GO:0070383)	8/9	3.106706e-02	9.999972e-01	0	0	6.996999e+00	2.429083e+01	APOBEC3C;APOBEC3D;APOBEC3F;CDADC1;APOBEC3G;APOBEC3H;AICDA;APOBEC3B
GO_Biological_Process_2021	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	8/9	3.106706e-02	9.999972e-01	0	0	6.996999e+00	2.429083e+01	CBFB;XCL1;NCKAP1L;PTPN22;HLA-A;LILRB4;RUNX3;HLA-E
GO_Biological_Process_2021	positive regulation of protein polyubiquitination (GO:1902916)	8/9	3.106706e-02	9.999972e-01	0	0	6.996999e+00	2.429083e+01	PRKN;DDX3X;XIAP;PTPN22;NOD2;BIRC2;GABARAP;SPSB4
GO_Biological_Process_2021	B cell receptor signaling pathway (GO:0050853)	24/34	3.113160e-02	9.999972e-01	0	0	2.100225e+00	7.286799e+00	BLK;ITK;MEF2C;SYK;PRKCB;NFAM1;RFTN1;PIK3CD;NFATC2;CD79B;LAT2;CD79A;PTPRC;TEC;LCK;CD19;BLNK;PLCG2;BTK;CD38;CTLA4;NCKAP1L;MNDA;MS4A1
GO_Biological_Process_2021	regulation of cell adhesion mediated by integrin (GO:0033628)	24/34	3.113160e-02	9.999972e-01	0	0	2.100225e+00	7.286799e+00	RET;LYN;FOXC2;SYK;TESC;PDE3B;SERPINE1;PTPN11;PIK3CG;PTK2;DPP4;ACER2;EFNA1;MUC1;SFRP2;CYP1B1;RAC3;SNAI2;NCKAP1L;ITGB1BP1;ADA;JAM3;EPHA2;FERMT3
GO_Biological_Process_2021	regulation of lymphocyte activation (GO:0051249)	12/15	3.218396e-02	9.999972e-01	0	0	3.499062e+00	1.202378e+01	CD4;THEMIS2;CLEC7A;LCK;SIT1;FCRL3;CCL5;CD19;LEP;CRTAM;IKZF3;PAG1
GO_Biological_Process_2021	positive regulation of T cell mediated cytotoxicity (GO:0001916)	19/26	3.251879e-02	9.999972e-01	0	0	2.374904e+00	8.136273e+00	STX7;HLA-B;CD1E;CD1D;HLA-A;CYRIB;HLA-F;CD1B;PVR;MR1;CD1A;HLA-E;AZGP1;IL23A;IL12B;HLA-DRA;XCL1;IL12RB1;HLA-DRB1
GO_Biological_Process_2021	hemidesmosome assembly (GO:0031581)	10/12	3.294892e-02	9.999972e-01	0	0	4.373476e+00	1.492578e+01	COL17A1;CD151;DST;LAMB3;KRT14;LAMA3;ITGA6;LAMC2;KRT5;LAMC1
GO_Biological_Process_2021	regulation of interleukin-12 production (GO:0032655)	34/51	3.754068e-02	9.999972e-01	0	0	1.750517e+00	5.745775e+00	CD40;MAST2;MEFV;MDK;CLEC7A;C1QBP;PLCG2;IL12B;CCR7;LGALS9;CCL19;TIGIT;JAK3;CMKLR1;SLAMF1;IL10;SYK;RIPK2;HLA-B;LAPTM5;IL16;LILRB1;MAPK14;SCIMP;FOXP1;CD40LG;IFNG;IL23A;TNFSF4;TLR8;IRF5;CD47;LTB;TLR4
GO_Biological_Process_2021	positive regulation of epidermal cell differentiation (GO:0045606)	15/20	4.076644e-02	9.999972e-01	0	0	2.624472e+00	8.398038e+00	MED1;FOXC1;PRKCH;NCOA3;KDF1;MACROH2A2;ETV4;MACROH2A1;PLAAT4;BMP4;SULT2B1;CYP27B1;SFRP4;ZBED2;SFN
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	15/20	4.076644e-02	9.999972e-01	0	0	2.624472e+00	8.398038e+00	ZNF683;PRELID1;PRKDC;FCRL3;CRTAM;SPINK5;PRDM1;IKZF3;ZFP36L2;CD2;IL4I1;TBX21;SLAMF8;NCKAP1L;CCR2
GO_Biological_Process_2021	ciliary neurotrophic factor-mediated signaling pathway (GO:0070120)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	CNTFR;CNTF;LIFR;IL6ST;IL6R
GO_Biological_Process_2021	glomerular visceral epithelial cell migration (GO:0090521)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	KANK2;ANLN;KANK1;ROCK1;TESK1
GO_Biological_Process_2021	negative regulation of interferon-alpha production (GO:0032687)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	IL10;PTPRS;NLRC3;LILRA4;HAVCR2
GO_Biological_Process_2021	negative regulation of regulatory T cell differentiation (GO:0045590)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	LAG3;MDK;IRF1;TNFSF4;CTLA4
