GeneID,GSM2977775,GSM2977776,GSM2977777,GSM2977778,GSM2977779,GSM2977780,GSM2977781,GSM2977782,GSM2977783,GSM2977784,GSM2977785,GSM2977786,GSM2977787
105378929,1.3645742842277062,2.200410660324863,1.3645742842277062,2.409529354124271,1.3645742842277062,1.3645742842277062,2.1789467678789216,2.2409739539296956,1.3645742842277062,2.249362256255942,1.3645742842277062,2.987657112950498,2.1877701931634825
54834,8.245448830831943,8.600615871248406,8.759583395573168,10.150724114318233,8.996581428992917,8.83706886825835,8.75585052415917,8.451330006379115,8.642911225245392,8.610456867845697,8.289976483556055,7.972311041357949,8.235712868948182
10885,9.569812518049925,9.752877585210669,9.97908890135598,11.643703570126046,10.098852697252159,10.22067367342981,9.857505130336328,9.418185356554838,9.807264633186323,9.759058584956032,9.400599504633178,8.988713805454124,9.108795680028152
200162,6.447989035356192,7.77097702427603,8.335304665475249,10.168521291407158,8.521730513355655,8.268471571011839,7.918079565558801,6.465320550889602,7.304061265273467,6.585162396229824,7.0027373707473615,6.591418103858781,6.469681634438931
105378930,2.2726251844808205,2.531181484300501,1.3645742842277062,2.409529354124271,2.278768882463289,2.1994402159642217,2.5019391708426557,2.2409739539296956,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062
107985447,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.168730363941241,1.3645742842277062,1.3645742842277062
6913,7.151316925330555,6.745449497339761,6.233367490238059,6.554170002214922,6.413619082807913,6.3296996380182655,6.695715405309952,7.017213422452923,6.861824998145304,6.768341471321838,6.728821507648364,7.573852579392208,8.163864658866716
105378933,3.1035924574612768,2.7756904017017465,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.1994402159642217,2.5019391708426557,2.2409739539296956,2.2789175737971723,2.59767631364322,2.168730363941241,3.1586135505384094,2.1877701931634825
107985191,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.249362256255942,1.3645742842277062,1.3645742842277062,1.3645742842277062
10352,8.103347614237583,7.952771091907897,8.105939794218472,9.01887549106981,8.366825060908102,8.14736825410228,7.967483519208955,7.89675692154357,7.965863022426753,7.888436212584505,8.297525498029069,8.423722665877897,8.402918555524062
104472716,4.030413698022456,3.144713387875781,1.3645742842277062,3.342003090279556,2.278768882463289,2.1994402159642217,2.741098647619221,2.5863014904443102,3.114714370052453,3.2394292084600558,3.2277413153462367,4.461632835710976,3.1200483070542635
101929147,7.360188032601488,7.262376629999553,7.674479216891791,8.093901015544526,7.520751532713894,7.292076974501645,7.27681728073797,7.431801603069475,7.26446136169496,7.392226138577845,7.568581450408597,7.940790977317094,7.449566926654704
107985192,4.030413698022456,4.441706287341072,4.613940372468041,5.476030119745389,4.829620487486193,4.176558316653,4.698072507940022,4.553624974250737,4.5261852971853385,4.576398871521572,4.758683507369316,4.631121383828204,4.520404555766093
105378934,1.3645742842277062,2.200410660324863,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.6376884508407348,1.3645742842277062,2.168730363941241,1.3645742842277062,1.3645742842277062
51179,3.2839924447910454,3.144713387875781,1.3645742842277062,2.409529354124271,3.114451737125883,2.7741288828387285,2.936162602151371,3.377237763464087,3.114714370052453,3.532541798898149,3.68295423561098,3.1586135505384094,4.071656301390079
100874270,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062
3284,3.1035924574612768,2.200410660324863,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,3.047409908129021,1.3645742842277062,1.3645742842277062,2.4880022648791154,2.540901343428094,2.513966440221927
105378935,2.2726251844808205,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.278768882463289,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.9176949491131428,1.3645742842277062,1.3645742842277062
3283,2.2726251844808205,1.3645742842277062,1.3645742842277062,1.3645742842277062,1.3645742842277062,2.1994402159642217,1.3645742842277062,2.2409739539296956,1.3645742842277062,1.3645742842277062,2.168730363941241,2.787176570162246,1.3645742842277062
128102,3.8247924532535484,3.144713387875781,2.876363563641264,3.7126257869139025,2.9009899828215304,3.1428227889739127,3.2490937700561147,2.5863014904443102,2.6376884508407348,3.2394292084600558,3.4752834081560864,3.4424418149511866,3.2674788554253142
