query,_id,_score,symbol,notfound
105378824,105378824,27.651289,LINC02795,
9635,9635,26.859749,CLCA2,
22802,22802,26.338215,CLCA4,
339524,339524,27.651411,LINC01140,
2635,2635,26.85963,GBP3,
105378841,105378841,27.64896,LOC105378841,
2633,2633,26.85718,GBP1,
2634,2634,26.85718,GBP2,
112268267,112268267,27.651411,LOC112268267,
105378842,105378842,27.651411,LOC105378842,
115361,115361,26.859694,GBP4,
107985076,107985076,27.651289,LOC107985076,
115362,115362,26.337978,GBP5,
163351,163351,27.651525,GBP6,
400759,400759,8.919573,GBP1P1,
84230,84230,26.858898,LRRC8C,
101927952,,,,True
105378853,105378853,27.651525,LINC02609,
164045,164045,26.859749,HFM1,
105378856,105378856,27.651525,LOC105378856,
8317,8317,26.338165,CDC7,
7049,7049,26.859694,TGFBR3,
2672,2672,26.338097,GFI1,
6125,6125,26.337978,RPL5,
388650,388650,27.651289,DIPK1A,
24,24,26.859509,ABCA4,
105378858,105378858,27.64896,LOC105378858,
2152,2152,26.85718,F3,
101928079,101928079,27.650805,SLC44A3-AS1,
148534,148534,27.64896,TLCD4,
101928118,101928118,27.64896,RWDD3-DT,
100996635,100996635,27.650675,LINC02607,
101928219,101928219,27.650675,LOC101928219,
100873932,100873932,27.651411,DPYD-AS1,
54873,54873,27.651525,PALMD,
100506007,100506007,27.651474,RTCA-AS1,
105379827,105379827,27.651474,LOC105379827,
54112,54112,27.651474,GPR88,
7412,7412,26.859694,VCAM1,
148867,148867,26.859024,SLC30A7,
102723784,102723784,27.650805,LOC102723784,
1301,1301,26.859024,COL11A1,
280,280,26.859024,AMY2B,
279,279,26.859024,AMY2A,
276,276,26.85718,AMY1A,
277,277,26.859749,AMY1B,
278,278,26.859749,AMY1C,
100129138,100129138,8.9198475,THAP3P1,
100873946,100873946,27.651289,VAV3-AS1,
148545,148545,27.651525,NBPF4,
653149,653149,27.651525,NBPF6,
113802,113802,26.859749,HENMT1,
105378891,105378891,27.651289,LOC105378891,
254268,254268,27.651289,AKNAD1,
642864,642864,27.650675,SPATA42,
57535,57535,27.651411,ELAPOR1,
284612,284612,27.651411,SYPL2,
2948,2948,26.337366,GSTM4,
2946,2946,26.85718,GSTM2,
2944,2944,26.85718,GSTM1,
2949,2949,26.85963,GSTM5,
2947,2947,26.338097,GSTM3,
164153,164153,27.651411,UBL4B,
3737,3737,27.651411,KCNA2,
107985174,107985174,27.651411,LOC107985174,
3738,3738,26.858898,KCNA3,
963,963,27.651411,CD53,
55791,55791,27.650675,LRIF1,
79961,79961,27.651474,DENND2D,
107985180,,,,True
1117,1117,27.64896,CHI3L2,
57413,57413,27.650675,TMIGD3,
107985184,107985184,27.651289,LOC107985184,
55924,55924,27.64896,INKA2,
3752,3752,26.337494,KCND3,
643355,643355,27.651525,LINC01750,
105378909,105378909,27.651289,LINC02884,
389,389,26.859694,RHOC,
284467,284467,27.650675,TAFA3,
100506392,100506392,27.651289,SLC16A1-AS1,
107985189,107985189,27.651474,LOC107985189,
100287722,100287722,27.651289,AP4B1-AS1,
26191,26191,26.337494,PTPN22,
56944,56944,27.650805,OLFML3,
163259,163259,27.650805,DENND2C,
270,270,26.337978,AMPD1,
4893,4893,26.338165,NRAS,
105378915,105378915,27.651525,LOC105378915,
4808,4808,27.651525,NHLH2,
55356,55356,27.650805,SLC22A15,
112268235,112268235,27.651289,LOC112268235,
105378924,105378924,27.651289,LOC105378924,
914,914,26.337494,CD2,
101929099,101929099,27.651411,CD101-AS1,
8458,8458,27.651411,TTF2,
79679,79679,27.651289,VTCN1,
10905,10905,26.859024,MAN1A2,
54855,54855,27.64896,TENT5C,
200162,200162,27.650675,SPAG17,
644242,644242,27.650675,LINC00622,
26227,26227,26.85718,PHGDH,
3158,3158,26.85718,HMGCS2,
83998,83998,27.64896,REG4,
105378939,,,,True
107985522,,,,True
767846,767846,8.91981,PFN1P2,
100996724,100996724,8.91981,PDE4DIPP2,
107985524,107985524,27.651525,LOC107985524,
105378943,,,,True
101929798,101929798,8.919573,PDE4DIPP4,
2210,2210,8.919771,FCGR1BP,
653820,653820,26.858898,RUMY2,
647121,647121,8.919573,EMBP1,
101929814,101929814,27.650675,LOC101929814,
107985200,107985200,27.650805,LOC107985200,
107985201,107985201,27.651525,LOC107985201,
26863,26863,27.651289,RNVU1-18,
199882,199882,8.919771,PDE4DIPP3,
338391,338391,8.919615,H2BP2,
100132417,100132417,8.9198475,FCGR1CP,
554282,554282,26.859024,RUMY3,
100996712,100996712,8.9198475,SRGAP2D,
100996732,100996732,27.651525,LINC02802,
101927333,101927333,27.650675,LINC03226,
105373467,,,,True
101929826,101929826,27.64896,LINC01632,
645166,645166,8.91981,LSP1P5,
728833,728833,26.85963,RUMY4,
105371312,,,,True
148741,148741,27.651411,ANKRD35,
107985593,107985593,27.651411,ANKRD35-DT,
8515,8515,26.337494,ITGA10,
100288805,100288805,8.9198475,HYDIN2,
644861,644861,8.9198475,NBPF13P,
100289211,100289211,27.651289,LINC00624,
26864,26864,27.651289,RNVU1-7,
101927468,101927468,27.64896,LOC101927468,
100847044,100847044,27.64896,MIR5087,
9659,9659,27.650805,PDE4DIP,
653598,653598,26.859024,PPIAL4C,
102723955,102723955,8.919573,PDE4DIPP7,
2209,2209,26.85718,FCGR1A,
440689,440689,26.859694,H2BC18,
8370,8370,26.859694,H4C14,
126961,126961,26.85718,H3C14,
337873,337873,8.919771,H2BC20P,
112268238,,,,True
554313,554313,26.859509,H4C15,
8349,8349,26.337494,H2BC21,
81611,81611,27.651289,ANP32E,
23632,23632,26.859024,CA14,
100874054,100874054,27.650805,FALEC,
54507,54507,26.859694,ADAMTSL4,
574406,574406,27.651289,ADAMTSL4-AS1,
84072,84072,27.650675,HORMAD1,
1520,1520,26.858898,CTSS,
1513,1513,26.85718,CTSK,
107985204,107985204,27.64896,LOC107985204,
149428,149428,27.64896,BNIPL,
10500,10500,26.85718,SEMA6C,
5993,5993,27.650675,RFX5,
101927886,101927886,27.651525,RFX5-AS1,
8991,8991,27.651411,SELENBP1,
7286,7286,27.651411,TUFT1,
284485,284485,27.651411,RIIAD1,
11022,11022,27.651411,TDRKH,
339398,339398,26.858898,LINGO4,
6097,6097,26.85718,RORC,
6281,6281,26.85718,S100A10,
105371441,,,,True
339400,339400,27.651474,CCDST,
6280,6280,26.859509,S100A9,
6283,6283,27.651474,S100A12,
6277,6277,27.651525,S100A6,
6275,6275,26.859694,S100A4,
6273,6273,27.651411,S100A2,
6271,6271,27.651411,S100A1,
4881,4881,26.859749,NPR1,
102466879,102466879,27.650805,MIR8083,
11000,11000,26.337978,SLC27A3,
101928059,101928059,27.651474,LOC101928059,
109617023,109617023,27.650675,SNORA58B,
3570,3570,26.337494,IL6R,
126668,126668,27.650675,TDRD10,
103,103,26.858898,ADAR,
105371449,105371449,27.650805,LOC105371449,
101928120,101928120,27.651525,PYGO2-AS1,
127579,127579,27.651525,DCST2,
149095,149095,27.651289,DCST1,
100505666,100505666,27.651411,DCST1-AS1,
1945,1945,26.859024,EFNA4,
1944,1944,26.859024,EFNA3,
1942,1942,26.858898,EFNA1,
4582,4582,26.858898,MUC1,
105371450,105371450,27.651474,THBS3-AS1,
5313,5313,26.338165,PKLR,
693140,693140,27.651289,MIR555,
23208,23208,26.85963,SYT11,
107985209,107985209,27.651411,ARHGEF2-AS2,
4000,4000,26.859749,LMNA,
632,632,26.337978,BGLAP,
79957,79957,27.650805,PAQR6,
57127,57127,27.650675,RHBG,
10485,10485,27.650675,MIR9-1HG,
128239,128239,26.858898,IQGAP3,
164118,164118,27.651474,TTC24,
105371453,105371453,27.651474,BCAN-AS1,
63827,63827,26.859749,BCAN,
10763,10763,27.651525,NES,
9047,9047,26.85718,SH2D2A,
375033,375033,27.651289,PEAR1,
149499,149499,27.651289,LRRC71,
107985211,107985211,27.651411,LOC107985211,
83416,83416,27.651411,FCRL5,
83417,83417,27.650805,FCRL4,
115352,115352,27.651411,FCRL3,
79368,79368,27.651411,FCRL2,
